Date,Company,Ticker Symbol,Currency,Open,High,Low,Close,Adj Close,Volume
2/1/2011,Sony Interactive Entertainment,SONY,JPY,6.92,7.39,6.90,7.37,5.44,81765000.00
3/1/2011,Sony Interactive Entertainment,SONY,JPY,7.34,7.36,5.79,6.37,4.70,154794500.00
4/1/2011,Sony Interactive Entertainment,SONY,JPY,6.36,6.42,5.57,5.66,4.31,124721000.00
5/1/2011,Sony Interactive Entertainment,SONY,JPY,5.74,5.82,5.18,5.35,4.07,116461000.00
6/1/2011,Sony Interactive Entertainment,SONY,JPY,5.37,5.37,4.84,5.28,4.02,112094500.00
7/1/2011,Sony Interactive Entertainment,SONY,JPY,5.28,5.46,4.99,5.02,3.82,84012000.00
8/1/2011,Sony Interactive Entertainment,SONY,JPY,5.07,5.11,4.03,4.39,3.34,193089500.00
9/1/2011,Sony Interactive Entertainment,SONY,JPY,4.41,4.44,3.68,3.80,2.89,111017000.00
10/1/2011,Sony Interactive Entertainment,SONY,JPY,3.76,4.50,3.62,4.19,3.32,137224000.00
11/1/2011,Sony Interactive Entertainment,SONY,JPY,3.96,4.02,3.23,3.61,2.86,158658000.00
12/1/2011,Sony Interactive Entertainment,SONY,JPY,3.60,3.72,3.33,3.61,2.86,127412000.00
1/1/2012,Sony Interactive Entertainment,SONY,JPY,3.66,3.75,3.35,3.64,2.89,103613000.00
2/1/2012,Sony Interactive Entertainment,SONY,JPY,3.61,4.47,3.37,4.28,3.39,174807500.00
3/1/2012,Sony Interactive Entertainment,SONY,JPY,4.30,4.41,4.00,4.15,3.29,150135000.00
4/1/2012,Sony Interactive Entertainment,SONY,JPY,4.11,4.17,3.22,3.24,2.59,203153500.00
5/1/2012,Sony Interactive Entertainment,SONY,JPY,3.17,3.21,2.59,2.65,2.12,222909500.00
6/1/2012,Sony Interactive Entertainment,SONY,JPY,2.55,2.89,2.53,2.85,2.28,172838500.00
7/1/2012,Sony Interactive Entertainment,SONY,JPY,2.84,2.86,2.24,2.43,1.94,146201500.00
8/1/2012,Sony Interactive Entertainment,SONY,JPY,2.42,2.48,2.18,2.26,1.81,201915000.00
9/1/2012,Sony Interactive Entertainment,SONY,JPY,2.27,2.72,2.20,2.34,1.87,229975000.00
10/1/2012,Sony Interactive Entertainment,SONY,JPY,2.37,2.48,2.26,2.35,1.90,152085000.00
11/1/2012,Sony Interactive Entertainment,SONY,JPY,2.34,2.39,1.92,1.95,1.58,297971500.00
12/1/2012,Sony Interactive Entertainment,SONY,JPY,1.94,2.26,1.91,2.24,1.81,220829500.00
1/1/2013,Sony Interactive Entertainment,SONY,JPY,2.29,3.10,2.12,2.99,2.42,545767000.00
2/1/2013,Sony Interactive Entertainment,SONY,JPY,2.94,3.19,2.75,2.92,2.36,352818000.00
3/1/2013,Sony Interactive Entertainment,SONY,JPY,3.00,3.61,2.97,3.48,2.82,388887000.00
4/1/2013,Sony Interactive Entertainment,SONY,JPY,3.37,3.50,3.22,3.29,2.78,300824500.00
5/1/2013,Sony Interactive Entertainment,SONY,JPY,3.25,4.68,3.24,4.03,3.41,835493500.00
6/1/2013,Sony Interactive Entertainment,SONY,JPY,3.88,4.32,3.72,4.24,3.59,462789000.00
7/1/2013,Sony Interactive Entertainment,SONY,JPY,4.30,4.62,4.14,4.21,3.56,229941500.00
8/1/2013,Sony Interactive Entertainment,SONY,JPY,4.39,4.45,3.91,3.99,3.38,247200500.00
9/1/2013,Sony Interactive Entertainment,SONY,JPY,4.08,4.39,4.07,4.30,3.65,219267000.00
10/1/2013,Sony Interactive Entertainment,SONY,JPY,4.28,4.30,3.33,3.45,2.94,305071500.00
11/1/2013,Sony Interactive Entertainment,SONY,JPY,3.40,3.83,3.30,3.66,3.12,375809500.00
12/1/2013,Sony Interactive Entertainment,SONY,JPY,3.70,3.75,3.41,3.46,2.95,196562000.00
1/1/2014,Sony Interactive Entertainment,SONY,JPY,3.47,3.66,3.11,3.15,2.68,346593500.00
